model,accuracy,value_EO_SEX,EO_SEX,value_EO_RACE,EO_RACE,value_EO_MAR,EO_MAR,dataset
XGBoost,0.7794432548179872,1.0_2.0,0.04751131221719451,5.0_2.0,1.0,1.0_2.0,0.0924908424908425,ME_1
LogisticRegression,0.7705804458177002,2.0_1.0,0.013679968768243206,1.0_5.0,0.15531135531135531,1.0_2.0,0.10865482550971173,TX_0
XGBoost,0.8087618627234606,1.0_2.0,0.04281119653646587,3.0_4.0,0.22056384742951907,1.0_2.0,0.11389400139377803,TX_0
LogisticRegression,0.7714285714285715,2.0_1.0,0.057390817469204936,3.0_4.0,1.0,1.0_2.0,0.1051051051051051,DE_0
XGBoost,0.7619047619047619,2.0_1.0,0.10806270996640532,3.0_4.0,1.0,1.0_2.0,0.1061061061061061,DE_0
LogisticRegression,0.7841269841269841,2.0_1.0,0.060589754627636674,3.0_4.0,1.0,1.0_2.0,0.15763888888888888,DE_1
XGBoost,0.7904761904761904,1.0_2.0,0.06955736224028908,3.0_4.0,1.0,1.0_2.0,0.13518817824982682,DE_1
LogisticRegression,0.7694053563322741,2.0_1.0,0.07282269229530894,4.0_5.0,0.37341772151898733,1.0_2.0,0.161796695866894,MD_1
XGBoost,0.7975487970948706,1.0_2.0,0.04697748255838241,4.0_5.0,0.303030303030303,1.0_2.0,0.16855782232935507,MD_1
LogisticRegression,0.7570621468926554,2.0_1.0,0.03749373433583958,1.0_2.0,0.6847290640394089,1.0_2.0,0.17883055911224932,NH_2
XGBoost,0.775894538606403,1.0_2.0,0.09443609022556387,3.0_2.0,1.0,1.0_2.0,0.1301749893299189,NH_2
LogisticRegression,0.7880027266530334,2.0_1.0,0.07522539845318976,3.0_4.0,0.6666666666666666,1.0_2.0,0.1153499469777306,KY_2
XGBoost,0.7750511247443763,1.0_2.0,0.08907363874395582,3.0_4.0,0.8333333333333334,1.0_2.0,0.1288971367974549,KY_2
LogisticRegression,0.7674088109900521,2.0_1.0,0.08022672770874206,3.0_4.0,0.6470588235294118,1.0_2.0,0.12262816051960101,MO_0
XGBoost,0.8000947418285173,2.0_1.0,0.059644846106585825,3.0_4.0,0.8235294117647058,1.0_2.0,0.11805845511482249,MO_0
LogisticRegression,0.7716535433070866,2.0_1.0,0.02947368421052632,1.0_4.0,0.7891566265060241,1.0_2.0,0.14185252159935707,RI_0
XGBoost,0.7585301837270341,1.0_2.0,0.14160839160839161,1.0_4.0,0.7469879518072289,1.0_2.0,0.12447257383966245,RI_0
LogisticRegression,0.7219512195121951,2.0_1.0,0.29984301412872844,1.0_2.0,0.5409836065573771,1.0_2.0,0.24666666666666665,WY_0
XGBoost,0.775609756097561,1.0_2.0,0.11930926216640503,4.0_2.0,1.0,1.0_2.0,0.053333333333333344,WY_0
LogisticRegression,0.7793577981651376,1.0_2.0,0.029859475428160795,3.0_4.0,0.2666666666666666,1.0_2.0,0.21332949198117734,WI_0
XGBoost,0.7885321100917431,1.0_2.0,0.06901872330232743,3.0_4.0,0.43333333333333335,1.0_2.0,0.1952367233266109,WI_0
LogisticRegression,0.7831690674753601,2.0_1.0,0.04369300911854104,3.0_4.0,0.8333333333333334,1.0_2.0,0.23840671856846188,CT_1
XGBoost,0.7952994692949203,1.0_2.0,0.044380518164712696,3.0_4.0,0.9,1.0_2.0,0.15299746589942273,CT_1
LogisticRegression,0.7848217707934074,2.0_1.0,0.06561527295669523,3.0_5.0,0.23838571750624682,1.0_2.0,0.1325494532566992,CA_1
XGBoost,0.8190111153698735,1.0_2.0,0.02228375670259436,3.0_5.0,0.22109524630443878,1.0_2.0,0.12667590995012237,CA_1
LogisticRegression,0.7814854682454252,1.0_2.0,0.07091575091575092,4.0_5.0,0.8,1.0_2.0,0.10465313028764806,AR_1
XGBoost,0.7707212055974165,1.0_2.0,0.05836461911228265,4.0_5.0,0.46875,1.0_2.0,0.19458544839255504,AR_1
LogisticRegression,0.7267441860465116,2.0_1.0,0.07164209875270589,1.0_4.0,0.6857142857142857,1.0_2.0,0.1630663856691254,HI_1
XGBoost,0.7577519379844961,2.0_1.0,0.051786208806424816,1.0_4.0,0.7,1.0_2.0,0.1492549143944198,HI_1
LogisticRegression,0.7732453509298141,2.0_1.0,0.0830709251761883,3.0_4.0,0.6666666666666666,1.0_2.0,0.1746042505682045,MI_2
XGBoost,0.8044391121775645,1.0_2.0,0.03111483072569063,3.0_4.0,0.5151515151515151,1.0_2.0,0.1434347462020017,MI_2
LogisticRegression,0.7728275253639171,2.0_1.0,0.02320653330839048,1.0_4.0,0.49512987012987014,1.0_2.0,0.1356058129513507,TN_0
XGBoost,0.7820908689898545,1.0_2.0,0.012464046021093078,3.0_4.0,0.7142857142857143,1.0_2.0,0.11729917679574436,TN_0
LogisticRegression,0.774483970136144,2.0_1.0,0.06993136890679075,3.0_4.0,0.31972789115646255,1.0_2.0,0.13451771688176628,PA_2
XGBoost,0.8019323671497585,1.0_2.0,0.07330238006076152,3.0_5.0,0.2829931972789116,1.0_2.0,0.1400692362076111,PA_2
LogisticRegression,0.7510121457489879,2.0_1.0,0.09131455399061039,4.0_5.0,0.48181818181818187,1.0_2.0,0.11461538461538456,NV_0
XGBoost,0.7854251012145749,1.0_2.0,0.0251058511928077,4.0_2.0,0.5058823529411764,1.0_2.0,0.11796153846153845,NV_0
LogisticRegression,0.7761452031114953,2.0_1.0,0.011067937789806373,1.0_2.0,0.15520672829994858,1.0_2.0,0.12750059096682176,NC_2
XGBoost,0.8147507922788821,1.0_2.0,0.041526374859708226,3.0_4.0,0.4163265306122449,1.0_2.0,0.15032192667203537,NC_2
LogisticRegression,0.7424975798644724,2.0_1.0,0.04740164106879863,1.0_2.0,0.5848032564450475,1.0_2.0,0.12396941698101359,MN_1
XGBoost,0.7589545014520813,1.0_2.0,0.0718908155645897,1.0_5.0,0.1886024423337856,1.0_2.0,0.14912280701754388,MN_1
LogisticRegression,0.7858136300417247,2.0_1.0,0.16949323642237024,3.0_2.0,0.75,1.0_2.0,0.0726045064866095,NE_0
XGBoost,0.7510431154381085,1.0_2.0,0.10485933503836317,5.0_2.0,0.6,1.0_2.0,0.11583339655564828,NE_0
LogisticRegression,0.7359307359307359,1.0_2.0,0.15384615384615385,3.0_4.0,0.75,1.0_2.0,0.2036637931034483,AK_1
XGBoost,0.7619047619047619,1.0_2.0,0.11010558069381593,5.0_4.0,0.775,1.0_2.0,0.13757575757575757,AK_1
LogisticRegression,0.7487899322362053,1.0_2.0,0.014847159531619414,4.0_2.0,0.5555555555555556,1.0_2.0,0.1469127156430189,MN_2
XGBoost,0.7778315585672798,1.0_2.0,0.07827525302083041,5.0_2.0,0.4848484848484849,1.0_2.0,0.14846044307491188,MN_2
LogisticRegression,0.7455249153362361,2.0_1.0,0.1324887177576285,4.0_5.0,0.5555555555555556,1.0_2.0,0.16533546325878595,MN_0
XGBoost,0.7672955974842768,1.0_2.0,0.06897914789453397,4.0_2.0,0.5,1.0_2.0,0.16054313099041534,MN_0
LogisticRegression,0.7658802177858439,1.0_2.0,0.0353271028037383,1.0_2.0,0.49032258064516127,1.0_2.0,0.0535005224660397,ID_0
