model,accuracy,EO_SEX,EO_RACE,EO_MAR,dataset
LogisticRegression,0.7631578947368421,0.010706075533661735,0.12068965517241376,0.046489197530864224,NV_3
XGBoost,0.7692307692307693,0.06794745484400655,0.05669125395152791,0.12260457449000618,NV_3
LogisticRegression,0.8113110539845758,0.033177994061365956,0.030046836548384526,0.16306419769895847,OH_2
XGBoost,0.8102827763496144,0.07922302870339815,0.03310313796857611,0.169225270610661,OH_2
LogisticRegression,0.7840764331210192,0.03546848673501446,0.04092459264873055,0.16254654654654654,MI_3
XGBoost,0.8063694267515924,0.06398257562212507,0.027032326054456768,0.06774651256525116,MI_3
LogisticRegression,0.7862969004893964,0.03118706942236349,0.05374637016659026,0.1396810683968986,TX_5
XGBoost,0.8091353996737357,0.03444715599774732,0.03666131743848387,0.09751465609776244,TX_5
LogisticRegression,0.7472426470588235,0.1553434400149729,0.14145658263305322,0.10709950511998506,WI_2
XGBoost,0.7601102941176471,0.07948094079480938,0.08823529411764708,0.28564376799670915,WI_2
LogisticRegression,0.7733732236350037,0.021707497435652784,0.15265017667844524,0.15234821509337765,MA_3
XGBoost,0.7905759162303665,0.07084754657570191,0.08358068315665487,0.1111723015036874,MA_3
LogisticRegression,0.7628458498023716,0.1629359708485164,0.08253968253968254,0.25111252383979654,KS_2
XGBoost,0.7470355731225297,0.12805830296720455,0.05338691159586684,0.1303658081373647,KS_2
LogisticRegression,0.7489878542510121,0.08701298701298699,0.15340733888374963,0.07756270447110136,NV_1
XGBoost,0.7732793522267206,0.01948051948051943,0.11517113783533761,0.09514721919302072,NV_1
LogisticRegression,0.7068062827225131,0.1071428571428572,0.18222222222222229,0.3779840848806366,RI_2
XGBoost,0.7015706806282722,0.1613372093023256,0.2222222222222222,0.2625994694960212,RI_2
LogisticRegression,0.7770114942528735,0.012524719841793042,0.2710526315789473,0.05372549019607844,MS_4
XGBoost,0.7793103448275862,0.06361239288068549,0.18684210526315792,0.12668350168350168,MS_4
LogisticRegression,0.7548048922539313,0.07431969612055545,0.11753569586356005,0.12581038325204497,NY_1
XGBoost,0.7856726849155504,0.01321688772650853,0.0919926141175146,0.13003002219031456,NY_1
LogisticRegression,0.7809165097300691,0.06961037285511551,0.06858440432668755,0.18884493670886077,NJ_4
XGBoost,0.7972379158819837,0.019936001625355554,0.06797143996230653,0.168539029535865,NJ_4
LogisticRegression,0.764367816091954,0.07253521126760562,0.1608530204534644,0.14622933163133017,CO_3
XGBoost,0.7969348659003831,0.040740740740740744,0.12359283335975901,0.15517482099048607,CO_3
LogisticRegression,0.8078358208955224,0.03291062801932367,0.04476461334916815,0.09388888888888891,TN_4
XGBoost,0.8236940298507462,0.07870370370370372,0.06552697648737901,0.08499999999999996,TN_4
LogisticRegression,0.7808988764044944,0.06252040915389168,0.03388876545952757,0.11070707070707075,IL_3
XGBoost,0.7968164794007491,0.07317288428781987,0.03249675032496749,0.10378070881997585,IL_3
LogisticRegression,0.7585905649388468,0.060484993043132596,0.11616387029231068,0.1486318797989482,NY_3
XGBoost,0.7944088526499709,0.025142118863049095,0.1057249910460919,0.1213455709504401,NY_3
LogisticRegression,0.7633163501621121,0.10104080900204782,0.02445740267307922,0.12043353873239437,PA_5
XGBoost,0.7883279295970357,0.07499180068697478,0.04497751124437788,0.15074823943661975,PA_5
LogisticRegression,0.7810810810810811,0.06295261447225875,0.25466991530339944,0.13542742398164087,AZ_5
XGBoost,0.8036036036036036,0.044306323772595024,0.12368024132730016,0.1011752922580948,AZ_5
LogisticRegression,0.7637795275590551,0.15666666666666662,0.07777777777777783,0.22333333333333327,NH_1
XGBoost,0.7755905511811023,0.06646825396825395,0.05102040816326531,0.14292497625830958,NH_1
LogisticRegression,0.7444444444444445,0.06166666666666666,0.1,0.18678160919540232,NE_4
XGBoost,0.7388888888888889,0.08480104370515329,0.11090909090909092,0.16098636728147556,NE_4
LogisticRegression,0.7913385826771654,0.08049353701527616,0.34523809523809523,0.2602006688963211,NH_0
XGBoost,0.7519685039370079,0.031433607520564066,0.3571428571428571,0.24481605351170566,NH_0
LogisticRegression,0.7881748071979434,0.0813755532856657,0.06769087523277467,0.10486909323116222,OH_0
XGBoost,0.8077120822622108,0.04532492157214604,0.023836126629422694,0.08489782886334607,OH_0
LogisticRegression,0.7803837953091685,0.04161410208326233,0.1033447343302577,0.15357142857142858,VA_4
XGBoost,0.8031272210376688,0.08685942241467492,0.058602449888641384,0.1850155279503105,VA_4
LogisticRegression,0.7839664413889537,0.016859057953514833,0.022935850214855738,0.13166501802865432,TX_1
