model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
XGBoost,0.7808219178082192,1.0_2.0,0.1398605601634812,1.0_3.0,0.23255813953488372,1.0_2.0,0.15542115542115542,MT_0
LogisticRegression,0.7643835616438356,1.0_2.0,0.07454796660058871,1.0_3.0,0.20958083832335328,1.0_2.0,0.09815597387629657,MT_1
XGBoost,0.7287671232876712,1.0_2.0,0.05589595722953086,1.0_3.0,0.2634730538922156,1.0_2.0,0.1668907670636445,MT_1
LogisticRegression,0.7479452054794521,1.0_2.0,0.024514811031664974,1.0_2.0,0.18452380952380953,1.0_2.0,0.17512861342479175,MT_2
XGBoost,0.7917808219178082,2.0_1.0,0.002824010094333973,1.0_2.0,0.29464285714285715,1.0_2.0,0.1774252817246448,MT_2
LogisticRegression,0.7771797631862217,1.0_2.0,0.05554936379678646,4.0_5.0,0.5,1.0_2.0,0.1070833927976785,AR_0
XGBoost,0.7944025834230355,1.0_2.0,0.09786848704374479,4.0_5.0,0.6363636363636364,1.0_2.0,0.13547404975976407,AR_0
LogisticRegression,0.7847147470398278,1.0_2.0,0.10474243739441286,4.0_5.0,0.4189189189189189,1.0_2.0,0.08525880191663036,AR_1
XGBoost,0.77502691065662,1.0_2.0,0.13425083302998908,4.0_5.0,0.4189189189189189,1.0_2.0,0.15025757087933944,AR_1
LogisticRegression,0.8019375672766416,1.0_2.0,0.040147918273295724,1.0_3.0,0.1800262812089356,1.0_2.0,0.058727653618164566,AR_2
XGBoost,0.8019375672766416,1.0_2.0,0.07704851013221589,1.0_3.0,0.24704336399474375,1.0_2.0,0.14737104153162547,AR_2
LogisticRegression,0.75426944971537,1.0_2.0,0.06792413150442542,3.0_4.0,0.2857142857142857,1.0_2.0,0.1443305949264241,KS_0
XGBoost,0.786527514231499,1.0_2.0,0.19464961039620293,3.0_4.0,0.2571428571428571,1.0_2.0,0.2215852667689808,KS_0
LogisticRegression,0.7609108159392789,1.0_2.0,0.04954207388284468,3.0_5.0,0.18909090909090912,1.0_2.0,0.2104529924925091,KS_2
XGBoost,0.7969639468690702,1.0_2.0,0.16694326633474704,3.0_5.0,0.4290909090909091,1.0_2.0,0.23313394439960344,KS_2
LogisticRegression,0.769859282796187,1.0_2.0,0.029362551639779355,4.0_5.0,0.49193548387096775,1.0_2.0,0.281539034688302,MD_0
XGBoost,0.8093508851566046,1.0_2.0,0.10278665229160278,4.0_5.0,0.46774193548387094,1.0_2.0,0.30707343323122777,MD_0
LogisticRegression,0.7689514298683613,2.0_1.0,0.0022871582861890283,3.0_5.0,0.3364912758996728,1.0_2.0,0.2537404453306747,MD_1
XGBoost,0.8075351793009532,1.0_2.0,0.0966342920441508,3.0_5.0,0.3225190839694656,1.0_2.0,0.2725199401794617,MD_1
LogisticRegression,0.7812074443940081,1.0_2.0,0.05835591644578075,4.0_5.0,0.4669811320754717,1.0_2.0,0.2916154853000402,MD_2
XGBoost,0.817067635043123,1.0_2.0,0.12292713402170613,4.0_5.0,0.47641509433962265,1.0_2.0,0.302997046583434,MD_2
LogisticRegression,0.7627118644067796,1.0_2.0,0.07106534090909089,3.0_2.0,0.42857142857142855,1.0_2.0,0.26026143790849676,NH_2
XGBoost,0.7777777777777778,1.0_2.0,0.15833806818181817,3.0_2.0,0.42857142857142855,1.0_2.0,0.23843137254901964,NH_2
LogisticRegression,0.7699734491914072,1.0_2.0,0.0525998843219882,1.0_5.0,0.18940431663995078,1.0_2.0,0.22346704289530192,OH_0
