model,accuracy,DP_SEX,DP_RACE,DP_MAR,dataset
LogisticRegression,0.7510121457489879,0.0125236878965148,0.1617021276595744,0.1843355861411211,NV_1
XGBoost,0.7591093117408907,0.0065584576089642,0.1345122962144239,0.1801917353197507,NV_1
LogisticRegression,0.7631578947368421,0.037820860671238,0.129653618698958,0.0630635118306351,NV_3
XGBoost,0.8076923076923077,0.0729120418331606,0.1456491129259363,0.1480448318804482,NV_3
LogisticRegression,0.7608318890814558,0.1100145137880987,0.0933588761174968,0.1297681285700455,OK_0
XGBoost,0.804159445407279,0.2152152878567973,0.0822637292464878,0.1438304772969309,OK_0
LogisticRegression,0.7313691507798961,0.0945665191992765,0.0505108359133126,0.0239132575198148,OK_2
XGBoost,0.7937608318890814,0.2565443746486446,0.0802786377708978,0.1603898980948161,OK_2
LogisticRegression,0.7868284228769498,0.0901770361580005,0.0404273146208629,0.0784289883268482,OK_3
XGBoost,0.804159445407279,0.1476956237436729,0.067513132029261,0.1473005836575875,OK_3
LogisticRegression,0.7555555555555555,0.0320385947550717,0.151289342092362,0.1371624240857992,NE_3
XGBoost,0.7305555555555555,0.0846115784265215,0.1517795862339445,0.2279364258948184,NE_3
LogisticRegression,0.75,0.0206323105085166,0.1570567986230637,0.1157407407407407,NE_4
XGBoost,0.7444444444444445,0.0558158294809345,0.1759896729776248,0.1481481481481481,NE_4
LogisticRegression,0.7583333333333333,0.1666666666666666,0.092852240415727,0.1822169059011164,NE_5
XGBoost,0.7388888888888889,0.1488095238095238,0.122561035395627,0.1714513556618819,NE_5
LogisticRegression,0.7853211009174312,0.174834473027244,0.1222634508348793,0.2351036269430051,UT_0
XGBoost,0.7779816513761468,0.2195810268099425,0.0458256029684601,0.2655146019783325,UT_0
LogisticRegression,0.8128440366972477,0.1331981068289384,0.1461184121392765,0.2817603720200577,UT_1
XGBoost,0.7963302752293578,0.2291413116970926,0.232488822652757,0.2667030842927977,UT_1
LogisticRegression,0.7981651376146789,0.1196299907904003,0.0653897897047369,0.2610182370820669,UT_4
XGBoost,0.7871559633027523,0.2305108619101793,0.0415988104510373,0.3093690194754024,UT_4
LogisticRegression,0.781651376146789,0.1406802721088435,0.1307880356629278,0.2218680945096039,UT_5
XGBoost,0.8073394495412844,0.2474149659863946,0.155378199597354,0.2656241146807184,UT_5
LogisticRegression,0.7398452611218569,0.0194940123923,0.1613974572617202,0.2022257551669316,MN_0
XGBoost,0.7804642166344294,0.0848297655683436,0.1995734911959726,0.2107519283989872,MN_0
LogisticRegression,0.758220502901354,0.0045454545454545,0.1683978380354919,0.223909965314886,MN_3
XGBoost,0.7775628626692457,0.041900826446281,0.1655182658576439,0.2096655336453321,MN_3
LogisticRegression,0.758220502901354,0.0582382953181272,0.1373822975517891,0.2457095472986325,MN_4
XGBoost,0.781431334622824,0.1240096038415365,0.1919256120527307,0.2388432730273992,MN_4
LogisticRegression,0.7456479690522244,0.0713327546752939,0.1968291332040985,0.1966346153846154,MN_5
XGBoost,0.7446808510638298,0.1035159112173236,0.1406581740976645,0.207988782051282,MN_5
LogisticRegression,0.7565543071161048,0.0917948717948718,0.0917537746806039,0.1299057616605033,ID_0
XGBoost,0.7677902621722846,0.1232478632478632,0.0348432055749128,0.1720744363592985,ID_0
LogisticRegression,0.7602996254681648,0.0776068376068375,0.125417439703154,0.0997464074387151,ID_2
XGBoost,0.797752808988764,0.1517948717948718,0.2326530612244897,0.1115807269653423,ID_2
LogisticRegression,0.6530612244897959,0.2364457831325301,0.0304247990815154,0.2156593406593406,ND_1
XGBoost,0.6258503401360545,0.2319277108433735,0.0803673938002296,0.3557692307692308,ND_1
LogisticRegression,0.6462585034013606,0.1065512048192771,0.032442748091603,0.210820895522388,ND_4
XGBoost,0.7142857142857143,0.2716490963855421,0.0143129770992366,0.0817164179104477,ND_4
LogisticRegression,0.7802300279763755,0.0215604552118753,0.1274490666000558,0.1926430527997268,CA_1
XGBoost,0.8091389493316755,0.0756408875484704,0.1353706179338404,0.2244829294134534,CA_1
LogisticRegression,0.7960199004975125,0.1434190042349384,0.0455020423672461,0.3208442638552122,VA_0
XGBoost,0.8095238095238095,0.2266431437948499,0.074601817548526,0.2965660920729235,VA_0
LogisticRegression,0.783226723525231,0.1123843284351105,0.098610623852075,0.2771642738648698,VA_1
XGBoost,0.8230277185501066,0.1945054718575461,0.1073709680747879,0.2731582935670837,VA_1
LogisticRegression,0.7810945273631841,0.1450682596666886,0.1229765337447132,0.2803044481876598,VA_3
XGBoost,0.8109452736318408,0.210647766945524,0.1350539159604702,0.2900056148231331,VA_3
LogisticRegression,0.7796730632551528,0.134681777551807,0.1078717201166181,0.2731991789129166,VA_4
XGBoost,0.7967306325515281,0.2437142763422254,0.1092214663643235,0.2904595557478137,VA_4
LogisticRegression,0.7608695652173914,0.1065217391304347,0.0990895948110811,0.175775795508682,KS_2
XGBoost,0.7509881422924901,0.1413043478260869,0.0455984058140898,0.2613802506858541,KS_2
